Domain,URL,Full URL,Best For,Description/Specialty
3Play Media,3playmedia.com,https://3playmedia.com,"audio, video, captions, audio descriptions","Provides captioning, transcription, and audio description services for video accessibility."
A List Apart,alistapart.com,https://alistapart.com,"inclusive design, interaction design, leadership, accessibility, system design","Magazine for people who make websites, often featuring in-depth articles on web standards, design, and accessibility."
a11y-style-guide.com,https://a11y-style-guide.com/,https://a11y-style-guide.com/,general accessibility,"A practical, living style guide demonstrating accessible UI patterns and components."
a11y.canada.ca,https://a11y.canada.ca/,https://a11y.canada.ca/,"policy, best practices, standards, wcag",Government of Canada's digital accessibility standards and practices for federal websites.
a11yquest.com,https://www.a11yquest.com/,https://www.a11yquest.com/,"design, inclusive design, training, education",Interactive learning game designed to teach the basics of web accessibility.
Aaron Gustafson,aaron-gustafson.com,https://aaron-gustafson.com,"code examples, aria, w3c","Personal site of a web designer, author, and accessibility advocate focusing on responsive design & web standards."
AbilityNet,https://abilitynet.org.uk/,https://abilitynet.org.uk/,"practical support, audits",Nonprofit providing accessibility guidance and testing.
Accessibility for Ontarians with Disabilities Act(AODA),https://www.aoda.ca,https://www.aoda.ca,"AODA compliance, Canadian accessibility law, provincial accessibility standards, policy requirements, legal accessibility guidelines","Official portal for Accessibility for Ontarians with Disabilities Act information, standards, compliance guidance, and policy updates."
Accessibility for Teams (Gov.uk),https://accessibility-manual.dwp.gov.uk/,https://accessibility-manual.dwp.gov.uk/,"team workflows, writing, design+dev","Guidance for writing, designing, and building accessible services."
Accessibility Insights,https://accessibilityinsights.io/,https://accessibilityinsights.io/,"testing automation, audits",Tools for automated and assisted accessibility assessments using axe-core.
Accessibility Object Model,wicg.github.io/aom/,https://wicg.github.io/aom/,"code examples, development","W3C Community Group page dedicated to the AOM specification, which aims to improve web accessibility APIs."
accessibility.huit.harvard.edu,https://accessibility.huit.harvard.edu/,https://accessibility.huit.harvard.edu/,general accessibility,"Harvard University's central resources for digital accessibility policy, tools, and training."
accessibility.oregonstate.edu,http://accessibility.oregonstate.edu/,http://accessibility.oregonstate.edu/,general accessibility,"Accessibility resources, training, and policy guidance from Oregon State University."
AccessibilityOz,accessibilityoz.com,https://accessibilityoz.com,"wcag, vpat, australia, video, mobile","Australian consulting firm offering accessibility audits, training, and testing services."
Accessible Culture,https://accessibleculture.org,https://accessibleculture.org,"accessible arts, museum accessibility, cultural inclusion, event accessibility, public-space best practices","Accessible Culture promotes inclusion in arts and cultural institutions through guidelines, best practices, and tools for accessible cultural spaces."
Accessible Educational Materials (AEM),https://aem.cast.org/,https://aem.cast.org/,"education accommodations, learning materials",Resources for accessible learning materials.
Accessible Media Education,access-media.org,https://access-media.org,Media Accessibility,"Resources and tools specific to making digital video and audio content accessible, focusing on captioning, transcription, and describing."
accessible-eu-centre.ec.europa.eu,https://accessible-eu-centre.ec.europa.eu/,https://accessible-eu-centre.ec.europa.eu/,"general accessibility, european accessibility act, en301549",European Union's center providing resources and knowledge on the European Accessibility Act.
accessible.canada.ca,https://accessible.canada.ca/,https://accessible.canada.ca/,"Accessible Canada Act (ACA) information, Canadian legal requirements, policy on federal inclusion, promoting inclusion.","Information on the Accessible Canada Act, promoting inclusion and accessibility for persons with disabilities."
accessibleweb.com,https://accessibleweb.com/,https://accessibleweb.com/,"Accessibility monitoring software, compliance reporting, WCAG testing services, ongoing website maintenance.","Services and software for accessibility testing, monitoring, and compliance reporting."
ADA.gov,https://www.ada.gov/,https://www.ada.gov/,"legal compliance, ADA, US law, VPAT",Official ADA guidance and accessibility resources.
Adobe Spectrum Design,https://spectrum.adobe.com,https://spectrum.adobe.com,"inclusive design, color, design system","Information on Adobe product accessibility, including PDF and creative suite tools."
adp.acb.org,https://adp.acb.org/,https://adp.acb.org/,"Assistive technology resources, accessible product reviews, American Council of the Blind (ACB) programs, low-vision aids.",American Council of the Blind's resource for assistive technology and accessible products.
Adrian Roselli,adrianroselli.com,https://adrianroselli.com,"wcag, code examples, ARIA, inclusive design, disabilities, W3c","Personal blog by accessibility expert Adrian Roselli covering WCAG, ARIA, and practical implementation."
AFB (American Foundation for the Blind),afb.org,https://afb.org,"blindness, low-vision, disabilities, legal","Major non-profit organization promoting education, research, and policy for people with vision loss."
alistapart.com,https://alistapart.com/,https://alistapart.com/,"In-depth articles on web standards, design philosophy, interaction design, digital publishing accessibility.","Online magazine with in-depth articles on web standards, design, and accessibility (Duplicate entry)."
Android Accessibility,http://developer.android.com,http://developer.android.com,Building and testing accessible apps for the Android platform,Guides and documentation for building accessible apps for the Android operating system.
Annual Disability Statistics Compendium - Home,https://www.disabilitycompendium.org,https://www.disabilitycompendium.org,"disability statistics, research data, national disability metrics, policy analysis, evidence-based disability insights",The Annual Disability Statistics Compendium aggregates national and state-level U.S. disability data across key demographic and policy areas.
Apple Accessibility,apple.com/accessibility,https://apple.com/accessibility,"mobile, user preferences, ios, inclusive design",Details on built-in accessibility features across Apple's hardware and software ecosystem.
